Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_Spending,Total_Purchases,Children
1981,Master,Together,77882.0,0,0,68,396,188,22,15,1,3,3,5,1,0,0,45,689,11,0
1986,PhD,Single,69867.0,0,0,196,512,33,130,54,1,3,5,8,1,0,1,40,925,16,0
1968,Master,Divorced,63841.0,0,1,635,100,20,7,131,1,9,3,9,6,0,0,58,893,21,1
1981,Basic,Married,24480.0,1,0,4,9,28,25,17,3,3,0,4,7,0,0,45,83,7,1
1974,PhD,Together,65640.0,0,1,204,149,20,15,66,1,5,1,8,2,0,0,52,454,14,1
1975,Master,Married,44319.0,1,1,26,8,0,0,3,2,2,0,3,5,0,0,51,37,5,2
1974,Graduation,Married,30631.0,1,0,15,20,4,5,20,1,3,1,2,7,0,0,52,64,6,1
1952,Graduation,Together,75278.0,0,0,304,230,150,74,74,1,6,3,13,3,0,0,74,832,22,0
1956,Master,Together,50898.0,1,1,285,242,55,114,135,13,6,2,12,5,0,0,70,831,20,2
1966,Graduation,Widow,79946.0,0,0,395,565,166,141,28,1,5,11,5,3,0,0,60,1295,21,0
1949,Master,Divorced,35416.0,0,0,248,81,4,3,51,3,7,1,5,8,0,0,77,387,13,0
1984,2n Cycle,Together,32414.0,0,0,20,5,0,9,12,1,1,0,3,7,0,0,42,46,4,0
1969,Graduation,Together,38361.0,1,0,39,56,20,8,14,3,3,1,3,7,0,0,57,137,7,1
1980,Graduation,Married,82497.0,0,0,777,573,216,21,203,1,2,7,9,4,0,0,46,1790,18,0
1971,Graduation,Together,16626.0,2,0,8,22,21,1,13,3,3,0,3,9,0,0,55,65,6,2
1965,Graduation,Together,29672.0,1,1,9,3,0,4,8,1,0,0,3,6,0,0,61,24,3,2
1952,Master,Together,55951.0,0,1,1241,80,0,13,40,3,3,6,11,8,0,0,74,1374,20,1
1988,2n Cycle,Divorced,35388.0,1,0,6,7,4,3,8,1,1,0,3,7,0,0,38,28,4,1
1986,Master,Together,42386.0,1,0,65,16,0,4,11,1,3,0,3,8,0,0,40,96,6,1
1982,Graduation,Single,68627.0,0,0,395,263,60,54,38,1,2,3,6,1,0,0,44,810,11,0
1965,PhD,Divorced,57912.0,0,1,801,80,0,0,35,5,8,3,12,5,0,0,61,916,23,1
1958,Graduation,Divorced,35246.0,1,1,36,12,2,2,10,4,3,1,3,5,0,0,68,62,7,2
1956,2n Cycle,Together,58821.0,0,1,513,154,19,0,28,1,9,2,9,6,0,0,70,714,20,1
1978,PhD,Married,46377.0,1,0,37,46,4,3,0,1,2,1,3,4,0,0,48,90,6,1
1988,Graduation,Single,39747.0,1,0,80,93,20,13,52,3,5,1,4,8,0,0,38,258,10,1
1984,Graduation,Together,23976.0,1,0,14,21,2,3,25,3,3,1,3,7,0,0,42,65,7,1
1961,Master,Married,80950.0,0,0,525,112,219,147,63,1,6,7,9,2,0,0,65,1066,22,0
1966,Graduation,Widow,27038.0,0,0,1,25,17,23,15,1,3,0,3,9,0,1,60,81,6,0
1947,Graduation,Single,77457.0,0,0,675,400,15,45,11,1,2,5,10,1,0,0,79,1146,17,0
1964,Master,Married,64100.0,0,1,509,27,0,0,10,1,8,3,6,7,0,0,62,546,17,1
1992,Master,Together,42670.0,0,0,154,46,20,4,15,1,4,2,4,4,0,0,34,239,10,0
1976,Graduation,Divorced,12571.0,1,0,3,14,2,12,17,4,3,1,3,6,0,0,50,48,7,1
1967,Graduation,Married,22574.0,2,1,25,8,2,0,2,2,2,0,3,7,0,0,59,37,5,3
1976,Master,Single,70893.0,0,0,768,561,77,44,14,1,6,6,10,3,0,0,50,1464,22,0
1966,Graduation,Married,54198.0,1,1,185,28,3,2,17,6,3,1,6,4,0,0,60,235,10,2
1956,Master,Together,28839.0,1,1,24,7,0,0,1,2,2,0,3,5,0,0,70,32,5,2
1972,Graduation,Married,40321.0,1,1,44,21,6,0,27,2,3,0,3,7,0,0,54,98,6,2
1985,Graduation,Single,66503.0,1,0,91,128,65,3,50,2,4,3,6,3,0,0,41,337,13,1
1951,Graduation,Married,30833.0,1,1,11,7,3,1,6,2,1,0,3,5,0,0,75,28,4,2
1971,Graduation,Married,64795.0,0,1,412,119,38,29,77,3,3,3,12,2,0,0,55,675,18,1
1974,Graduation,Married,34421.0,1,0,3,7,6,2,9,1,1,0,2,7,0,0,52,27,3,1
1965,PhD,Divorced,47025.0,1,1,16,3,0,0,1,1,1,0,2,7,0,0,61,20,3,2
1961,PhD,Divorced,64325.0,0,1,731,353,78,12,73,5,10,3,5,7,0,0,65,1247,18,1
1953,Graduation,Single,40464.0,0,1,424,118,7,23,41,6,8,2,8,8,0,0,73,613,18,1
1957,Graduation,Married,62187.0,0,0,792,275,45,45,126,1,4,8,5,3,0,0,69,1283,17,0
1976,PhD,Divorced,14849.0,1,0,21,28,3,2,9,3,2,0,4,8,0,0,50,63,6,1
1984,Graduation,Married,27255.0,1,0,22,11,0,1,2,1,1,0,3,7,0,0,42,36,4,1
1950,PhD,Married,54432.0,2,1,33,5,0,0,0,1,1,0,3,4,0,0,76,38,4,3
1986,PhD,Single,29999.0,1,0,68,59,10,5,11,4,3,1,4,8,0,0,40,153,8,1
1983,Graduation,Single,24072.0,1,0,9,6,3,0,4,1,1,0,2,8,0,0,43,22,3,1
1989,PhD,Single,33996.0,0,0,40,15,8,0,6,1,1,1,3,4,0,0,37,69,5,0
1956,PhD,Married,66334.0,0,1,909,218,0,0,23,2,9,3,5,5,0,1,70,1150,17,1
1971,Master,Married,35178.0,1,0,23,13,2,2,18,1,1,1,2,7,0,1,55,58,4,1
1983,Graduation,Together,22010.0,1,0,11,9,3,0,8,2,2,0,3,8,0,0,43,31,5,1
1960,Graduation,Divorced,62204.0,0,2,317,247,151,46,139,1,4,5,12,3,0,0,66,900,21,2
1968,Graduation,Divorced,75693.0,0,0,797,293,72,97,30,1,11,4,6,4,0,1,58,1289,21,0
1972,Graduation,Married,30675.0,1,0,10,16,11,2,21,1,1,0,3,8,0,0,54,60,4,1
1965,Graduation,Together,83003.0,0,0,856,570,40,25,122,1,7,6,8,3,0,1,61,1613,21,0
1988,Graduation,Single,68655.0,0,0,456,832,75,118,38,1,4,5,11,3,0,0,38,1519,20,0
1986,Graduation,Divorced,41411.0,0,0,37,38,11,3,18,1,2,1,4,6,0,0,40,107,7,0
1969,PhD,Married,55212.0,0,1,1103,45,0,0,34,3,4,2,11,8,0,0,57,1182,17,1
1950,PhD,Together,59292.0,0,1,378,68,19,14,14,2,3,5,8,3,0,0,76,493,16,1
1973,Basic,Together,27190.0,1,0,1,7,0,1,3,1,1,0,2,8,0,1,53,12,3,1
1952,Graduation,Divorced,82623.0,0,0,204,204,172,153,173,1,2,9,4,1,0,0,74,906,15,0
1965,Graduation,Married,44300.0,1,1,30,9,0,0,3,2,1,0,3,6,0,0,61,42,4,2
1970,Graduation,Divorced,84835.0,0,0,189,379,111,189,218,1,4,4,6,1,0,1,56,1086,14,0
1971,Graduation,Widow,30372.0,1,1,15,12,7,3,7,3,2,0,3,7,0,0,55,44,5,2
1976,Master,Married,33181.0,1,0,9,3,0,0,4,1,1,0,2,6,0,0,50,16,3,1
1957,Graduation,Married,71113.0,0,1,495,255,11,33,8,4,6,7,9,4,0,0,69,802,22,1
1986,Graduation,Married,71952.0,1,0,656,455,52,107,93,2,8,4,8,4,0,0,40,1363,20,1
1966,PhD,Single,69759.0,0,0,452,514,13,30,0,3,4,6,5,3,0,1,60,1009,15,0
1974,Graduation,Married,72099.0,0,0,546,410,119,0,22,1,3,4,10,1,0,0,52,1097,17,0
1976,PhD,Single,60000.0,0,1,1048,217,0,0,12,5,11,3,5,6,0,0,50,1277,19,1
1978,Graduation,Single,38643.0,1,1,22,14,0,1,10,2,2,0,3,7,1,0,48,47,5,2
1955,Graduation,Married,50737.0,0,1,78,11,0,0,10,1,2,0,4,6,0,0,71,99,6,1
1969,PhD,Married,68462.0,0,0,561,785,84,128,48,1,3,3,8,1,0,0,57,1606,14,0
1943,Master,Married,65073.0,0,0,629,177,69,0,8,1,5,3,5,2,1,0,83,883,13,0
1948,PhD,Together,46681.0,0,2,269,69,15,19,38,2,4,6,4,5,0,0,78,410,14,2
1957,Graduation,Married,78618.0,0,0,736,818,212,163,61,1,4,7,10,2,0,0,69,1990,21,0
1969,PhD,Widow,62187.0,0,1,512,83,0,0,41,3,6,2,10,4,0,0,57,636,18,1
1978,Graduation,Married,28442.0,2,0,19,10,11,8,6,3,2,1,4,4,0,0,48,54,7,2
1967,Graduation,Married,51479.0,1,1,247,160,6,8,65,7,6,3,6,7,0,0,59,486,15,2
1969,Graduation,Single,54803.0,0,1,404,92,28,27,142,2,6,2,9,4,0,0,57,693,17,1
1960,Graduation,Married,79530.0,0,0,333,815,129,42,29,1,4,10,11,2,0,0,66,1348,25,0
1976,Graduation,Divorced,31615.0,1,0,2,20,6,11,9,2,2,0,3,7,0,0,50,48,5,1
1962,Graduation,Together,72025.0,0,0,833,549,151,133,233,1,4,3,8,3,0,0,64,1899,15,0
1975,PhD,Single,52614.0,0,1,789,142,12,9,38,2,2,4,8,8,0,0,51,990,14,1
1984,2n Cycle,Married,35684.0,1,0,10,7,0,6,3,1,1,0,3,6,0,0,42,26,4,1
1975,Graduation,Married,48178.0,1,1,159,45,6,2,38,6,5,1,4,8,0,0,51,250,10,2
1970,Master,Single,29548.0,1,0,7,6,3,1,11,1,1,1,2,4,0,0,56,28,4,1
1966,Graduation,Single,63810.0,0,1,977,253,16,12,101,4,4,3,12,8,0,0,60,1359,19,1
1972,PhD,Single,38578.0,1,1,38,22,3,3,3,3,3,0,3,8,0,1,54,69,6,2
1975,Master,Single,46098.0,1,1,57,27,0,0,36,4,3,2,2,8,0,0,51,120,7,2
1970,Graduation,Single,22585.0,0,0,3,15,13,2,39,1,1,1,2,9,0,1,56,72,4,0
1989,Graduation,Single,30279.0,1,0,10,14,4,4,1,1,1,0,3,8,0,0,37,33,4,1
1961,PhD,Together,66426.0,0,1,1043,97,32,24,157,2,3,5,10,6,0,0,65,1353,18,1
1969,Graduation,Single,30822.0,1,0,3,13,2,12,12,1,1,0,3,7,0,0,57,42,4,1
1969,PhD,Married,33581.0,2,0,11,5,0,0,1,1,1,0,2,8,0,0,57,17,3,2
1985,Graduation,Married,19986.0,1,0,3,5,0,2,6,1,0,0,3,7,0,0,41,16,3,1
1954,Graduation,Widow,27421.0,0,0,43,96,78,40,55,3,4,1,6,7,0,0,72,312,11,0
1981,Master,Single,36143.0,1,0,12,1,0,0,6,1,0,1,2,3,0,0,45,19,3,1
1971,Graduation,Single,10245.0,1,0,4,7,6,4,13,3,1,2,2,5,0,0,55,34,5,1
1968,Master,Together,43795.0,0,1,314,53,4,3,107,3,7,3,4,7,0,1,58,481,14,1
1960,Graduation,Together,63381.0,0,1,571,142,33,50,159,4,4,5,13,2,0,0,66,955,22,1
1949,Graduation,Together,38823.0,0,1,70,11,2,8,23,1,2,1,3,6,0,0,77,114,6,1
1968,PhD,Divorced,83664.0,1,1,866,151,28,21,86,3,2,2,12,5,0,0,58,1152,16,2
1979,Graduation,Together,90300.0,0,0,594,786,33,134,57,0,5,6,8,1,0,0,47,1604,19,0
1979,Master,Together,62499.0,1,0,140,61,0,13,4,2,3,1,6,4,0,0,47,218,10,1
1993,Graduation,Single,74293.0,0,0,375,335,93,91,81,1,5,4,6,2,0,0,33,975,15,0
1946,PhD,Married,51012.0,0,0,102,63,2,9,24,1,4,1,4,6,0,0,80,200,9,0
1968,Master,Married,70777.0,0,1,554,113,0,7,78,3,5,3,12,3,0,0,58,752,20,1
1991,PhD,Together,68682.0,0,0,919,505,99,30,45,1,4,9,10,2,0,0,35,1598,23,0
1971,Graduation,Married,43824.0,1,1,96,42,12,3,32,4,3,1,4,8,0,0,55,185,8,2
1984,Graduation,Together,15345.0,1,0,5,16,3,2,19,2,1,1,2,8,0,1,42,45,4,1
1987,Graduation,Single,23442.0,1,0,2,6,8,6,5,1,1,0,3,7,0,0,39,27,4,1
1980,2n Cycle,Together,14515.0,1,0,6,9,6,36,35,4,2,2,3,7,0,1,46,92,7,1
1956,2n Cycle,Divorced,31395.0,1,1,23,25,0,8,7,4,2,1,3,6,0,0,70,63,6,2
1965,Graduation,Together,75276.0,0,0,610,125,137,42,21,1,9,4,9,5,0,0,61,935,22,0
1974,Graduation,Single,42373.0,1,1,67,61,3,8,19,5,2,1,5,5,0,0,52,158,8,2
1960,Graduation,Together,30507.0,0,0,65,74,38,20,110,1,5,1,4,7,0,0,66,307,10,0
1955,PhD,Single,55521.0,1,2,416,26,0,0,4,9,6,3,6,7,0,1,71,446,15,3
1965,Graduation,Married,48006.0,1,1,23,11,3,2,2,1,1,0,3,6,0,0,61,41,4,2
1972,PhD,Single,27213.0,1,0,19,26,10,9,3,3,2,0,4,8,0,1,54,67,6,1
1971,PhD,Divorced,65808.0,1,1,155,80,13,7,10,3,5,1,5,6,0,0,55,265,11,2
1974,PhD,Together,30351.0,1,0,14,24,3,3,2,1,3,0,2,9,0,0,52,46,5,1
1963,Graduation,Married,50437.0,0,2,370,92,6,9,4,3,7,1,8,7,0,0,63,481,16,2
1982,2n Cycle,Single,23616.0,1,0,4,11,3,7,32,2,3,0,3,8,0,1,44,57,6,1
1976,Graduation,Married,53858.0,0,1,407,221,58,150,26,4,4,3,6,4,0,0,50,862,13,1
1955,PhD,Married,66465.0,0,1,1200,204,38,29,14,3,11,9,12,6,0,0,71,1485,32,1
1987,Graduation,Single,46923.0,1,0,85,54,102,78,6,3,5,1,7,7,0,0,39,325,13,1
1962,Graduation,Together,75072.0,0,1,583,309,0,22,125,2,5,4,8,3,0,0,64,1039,17,1
1943,PhD,Married,75865.0,0,0,483,591,156,0,12,1,3,5,10,1,0,0,83,1242,18,0
1975,2n Cycle,Together,19789.0,1,0,2,9,28,6,28,3,2,1,3,5,0,0,51,73,6,1
1994,Graduation,Together,80134.0,0,0,966,282,52,26,26,1,2,7,11,5,0,0,32,1352,20,0
1981,Graduation,Single,91065.0,0,0,822,108,179,137,114,1,7,9,9,3,0,1,45,1360,25,0
1971,Master,Married,49505.0,1,1,604,100,19,0,28,9,10,2,8,8,0,0,55,751,20,2
1973,PhD,Married,37401.0,1,0,19,19,3,1,3,2,2,0,3,7,0,0,53,45,5,1
1982,Master,Together,18492.0,1,0,2,2,2,1,1,1,1,0,2,8,0,0,44,8,3,1
1974,Master,Married,82584.0,0,0,1076,103,29,91,68,1,3,4,8,1,0,1,52,1367,15,0
1941,PhD,Married,93027.0,0,0,1285,716,55,0,21,0,7,10,5,2,0,0,85,2077,22,0
1953,Graduation,Married,48686.0,1,2,10,7,2,0,1,1,1,0,2,8,0,0,73,20,3,3
1986,Graduation,Married,92910.0,0,0,551,792,179,103,33,1,6,7,13,1,0,0,40,1658,26,0
1989,Graduation,Married,75433.0,1,0,800,297,0,34,57,2,2,5,10,6,0,0,37,1188,17,1
1989,2n Cycle,Together,10404.0,1,0,2,11,10,6,12,2,1,0,4,5,0,0,37,41,5,1
1968,Graduation,Married,61314.0,0,1,378,189,97,172,172,2,5,5,12,3,0,0,58,1008,22,1
1961,PhD,Single,84865.0,0,0,1248,349,43,16,16,1,2,4,9,4,0,1,65,1672,15,0
1989,Graduation,Married,42387.0,1,0,235,235,19,4,191,5,8,1,7,8,0,0,37,684,16,1
1967,2n Cycle,Together,67309.0,1,1,515,181,149,95,95,15,9,6,9,7,0,0,59,1035,24,2
1964,Graduation,Married,75236.0,0,1,438,400,12,38,114,1,8,3,13,4,0,0,62,1002,24,1
1970,Graduation,Single,30015.0,1,0,25,22,2,3,5,2,1,0,4,5,0,0,56,57,5,1
1956,Master,Together,50943.0,0,1,31,7,2,0,6,1,1,0,3,5,0,0,70,46,4,1
1966,Graduation,Divorced,67272.0,0,1,357,271,28,28,14,3,6,2,12,5,0,0,60,698,20,1
1949,Master,Widow,51529.0,0,1,400,35,6,0,22,2,9,1,5,8,0,0,77,463,15,1
1971,PhD,Married,32011.0,1,0,99,15,2,1,5,3,2,1,4,7,0,0,55,122,7,1
1986,2n Cycle,Married,7500.0,1,0,1,5,4,6,9,2,2,0,3,8,0,0,40,25,5,1
1989,Graduation,Married,28691.0,1,0,5,13,8,0,4,1,1,0,3,8,0,0,37,30,4,1
1948,PhD,Married,56223.0,0,1,77,31,16,0,4,2,2,1,5,4,0,0,78,128,8,1
1946,Graduation,Married,18100.0,0,0,3,2,4,3,1,1,0,0,3,5,0,0,80,13,3,0
1974,2n Cycle,Married,20130.0,0,0,0,3,7,6,12,1,1,0,3,8,0,0,52,28,4,0
1959,Graduation,Divorced,23295.0,0,0,0,1,2,12,5,1,1,0,2,8,0,0,67,20,3,0
1972,Master,Divorced,42618.0,1,0,76,74,13,5,10,2,5,0,4,8,0,0,54,178,9,1
1964,Graduation,Single,81246.0,0,0,398,537,61,156,37,1,4,5,7,1,0,0,62,1189,16,0
1976,Graduation,Married,24027.0,1,0,14,11,11,0,5,2,2,0,3,8,0,0,50,41,5,1
1953,PhD,Married,55707.0,0,1,208,82,30,66,35,2,3,2,9,3,0,0,73,421,14,1
1955,Graduation,Single,57959.0,0,1,430,322,43,24,33,5,4,7,11,3,0,0,71,852,22,1
1969,Graduation,Married,56796.0,0,1,656,161,62,47,37,3,8,9,7,7,0,0,57,963,24,1
1971,Master,Single,36230.0,1,0,14,30,8,2,3,1,2,0,4,5,0,0,55,57,6,1
1980,2n Cycle,Married,70829.0,1,1,141,106,72,19,23,2,4,2,8,3,0,0,46,361,14,2
1976,Graduation,Married,65991.0,0,1,507,364,25,47,9,3,9,5,10,7,0,0,50,952,24,1
1972,Graduation,Married,38988.0,1,2,164,103,12,3,42,7,5,1,6,8,0,0,54,324,12,3
1966,2n Cycle,Single,89572.0,0,0,606,974,197,194,64,1,7,7,9,4,0,1,60,2035,23,0
1984,Master,Married,42207.0,1,0,116,72,3,17,46,4,4,1,5,6,0,1,42,254,10,1
1952,Graduation,Married,50300.0,0,1,143,60,24,23,5,2,2,1,8,2,0,0,74,255,11,1
1982,2n Cycle,Together,66664.0,0,0,398,447,220,96,32,1,5,7,6,3,0,0,44,1193,18,0
1964,Graduation,Married,60597.0,0,1,522,257,32,16,66,4,2,2,8,7,0,1,62,893,12,1
1949,Graduation,Widow,70165.0,0,0,161,253,199,191,122,1,3,7,11,1,0,0,77,926,21,0
1958,PhD,Widow,50520.0,0,1,112,6,2,1,14,2,3,1,3,6,0,0,68,135,7,1
1975,Graduation,Married,33183.0,1,0,7,39,17,15,37,2,4,0,3,7,0,0,51,115,7,1
1969,PhD,Single,66582.0,0,0,789,420,16,38,0,1,2,8,9,1,0,0,57,1263,19,0
1955,PhD,Together,75261.0,0,0,1239,413,23,34,17,1,5,6,5,2,0,1,71,1726,16,0
1970,Graduation,Widow,31880.0,1,0,4,5,2,0,3,1,1,0,2,8,0,0,56,14,3,1
1951,Graduation,Married,53790.0,0,2,335,127,28,5,5,3,7,2,8,6,0,0,75,500,17,2
1971,PhD,Together,49269.0,1,0,639,166,11,8,58,3,7,3,12,7,0,0,55,882,22,1
1975,Graduation,Married,61456.0,0,1,563,384,84,192,89,4,6,10,13,4,0,0,51,1312,29,1
1980,Graduation,Married,37406.0,1,0,2,8,2,2,3,1,1,0,2,8,0,1,46,17,3,1
1981,PhD,Together,56937.0,1,0,746,125,11,8,8,7,8,6,9,6,0,1,45,898,23,1
1978,Graduation,Married,38415.0,1,1,22,13,4,0,4,2,1,0,3,7,0,0,48,43,4,2
1988,Graduation,Single,20518.0,1,0,4,6,4,1,9,1,1,1,2,5,0,0,38,24,4,1
1956,Graduation,Married,62503.0,0,1,478,193,110,75,117,4,8,3,11,5,0,0,70,973,22,1
1972,PhD,Single,41644.0,1,1,20,4,2,0,2,2,1,0,3,3,0,0,54,28,4,2
1977,Master,Married,55842.0,0,1,451,39,0,4,24,1,7,1,8,5,0,0,49,518,16,1
1972,PhD,Married,62010.0,0,1,371,39,6,0,92,4,6,2,7,5,0,0,54,508,15,1
1977,Graduation,Married,41124.0,1,0,281,84,15,0,119,7,7,3,4,8,0,0,49,499,14,1
1973,Master,Married,38961.0,1,0,19,19,0,1,24,1,2,1,2,7,0,0,53,63,5,1
1972,Master,Divorced,37760.0,1,0,26,13,2,10,0,1,2,0,3,6,0,0,54,51,5,1
1974,Graduation,Single,32233.0,1,0,138,35,25,11,72,2,6,2,2,9,0,1,52,281,10,1
1975,Graduation,Married,43057.0,0,1,213,44,0,2,5,4,4,2,5,5,0,0,51,264,11,1
1960,Master,Together,83151.0,0,0,407,100,120,74,18,1,5,9,4,3,0,0,66,719,18,0
1964,PhD,Divorced,78825.0,0,0,483,114,169,37,18,1,5,10,13,3,0,1,62,821,28,0
1976,Master,Together,65104.0,0,1,738,232,13,20,50,2,3,5,7,7,0,0,50,1053,15,1
1974,Graduation,Married,60093.0,0,1,502,109,16,6,90,2,7,2,10,6,0,0,52,723,19,1
1969,Graduation,Married,14045.0,1,0,11,5,2,1,1,1,1,0,3,7,0,0,57,20,4,1
1952,2n Cycle,Widow,28457.0,0,0,24,108,29,29,14,1,4,1,4,8,0,0,74,204,9,0
1958,PhD,Together,78952.0,0,1,1170,594,99,76,134,2,2,5,12,6,0,0,68,2073,19,1
1976,Graduation,Divorced,46310.0,1,0,185,88,15,5,14,2,6,1,5,8,0,0,50,307,12,1
1955,Graduation,Together,76005.0,0,0,983,389,240,50,40,1,3,5,13,6,0,0,71,1702,21,0
1964,Master,Single,58308.0,0,1,691,69,10,0,130,4,2,6,3,8,0,0,62,900,11,1
1944,PhD,Divorced,55614.0,0,0,504,131,8,0,26,1,9,4,6,7,0,0,82,669,19,0
1962,Master,Divorced,59432.0,0,1,317,265,25,19,12,3,5,3,11,5,0,0,64,638,19,1
1978,Graduation,Divorced,55563.0,0,1,29,9,2,0,2,1,2,0,3,3,0,0,48,42,5,1
1971,PhD,Together,78642.0,0,1,1396,322,46,35,17,1,4,9,4,6,0,0,55,1816,17,1
1949,PhD,Together,67911.0,0,1,529,356,63,28,0,3,6,7,11,3,0,0,77,976,24,1
1944,Graduation,Married,65275.0,0,0,388,218,91,14,21,1,4,3,13,2,0,0,82,732,20,0
1950,Graduation,Together,27203.0,1,1,13,21,4,0,24,2,1,1,2,8,0,0,76,62,4,2
1961,Master,Together,48330.0,0,1,28,4,0,0,0,1,1,0,3,5,0,0,65,32,4,1
1990,Basic,Married,24279.0,0,0,16,21,20,62,108,1,4,1,3,8,0,0,36,227,8,0
1985,PhD,Married,64355.0,1,0,1047,140,67,38,153,2,4,3,12,8,0,0,41,1445,19,1
1953,Graduation,Widow,53653.0,0,0,815,239,28,10,108,2,10,4,12,6,0,0,73,1200,26,0
1976,Graduation,Married,65665.0,0,1,225,387,106,36,29,1,5,10,8,3,0,0,50,783,23,1
1989,Graduation,Single,81217.0,0,0,493,324,146,40,84,1,3,7,11,1,0,0,37,1087,21,0
1992,Graduation,Married,34935.0,0,0,34,66,3,10,20,1,2,1,4,7,0,0,34,133,7,0
1959,Graduation,Divorced,61250.0,0,1,382,65,60,26,59,6,5,2,12,5,0,0,67,592,19,1
1981,PhD,Together,39665.0,1,0,127,56,0,1,31,3,4,2,3,7,0,0,45,215,9,1
1979,Graduation,Single,60152.0,0,1,325,300,86,58,91,1,6,4,12,3,0,0,47,860,22,1
1964,Graduation,Married,48920.0,0,2,238,68,8,10,6,3,6,2,5,7,0,0,62,330,13,2
1959,Master,Together,89120.0,0,0,1168,408,72,129,55,1,5,6,7,1,0,0,67,1832,18,0
1946,PhD,Together,44124.0,0,1,284,55,0,6,52,4,6,2,5,8,0,0,80,397,13,1
1975,Master,Single,81169.0,0,0,1288,613,80,61,27,1,5,7,9,2,0,0,51,2069,21,0
1961,Graduation,Married,36443.0,1,1,65,46,4,3,20,4,3,1,3,8,0,0,65,138,7,2
1990,Graduation,Single,26095.0,1,0,11,9,3,1,11,1,1,0,3,7,0,0,36,35,4,1
1959,Graduation,Together,71367.0,0,0,227,389,42,21,75,1,4,5,7,2,0,0,67,754,16,0
1944,Master,Married,80184.0,0,0,1035,670,25,38,0,1,6,3,10,3,0,0,82,1768,19,0
1965,Graduation,Divorced,30630.0,1,1,27,12,2,0,10,2,2,0,3,7,0,0,61,51,5,2
1987,Master,Single,73454.0,0,0,982,351,56,14,175,1,2,4,6,5,0,0,39,1578,12,0
1991,Graduation,Married,42691.0,0,0,179,64,38,17,58,1,5,1,6,5,0,0,35,356,12,0
1953,Graduation,Married,70503.0,0,0,1379,216,0,33,66,1,2,4,9,6,0,0,73,1694,15,0
1987,Graduation,Married,25545.0,1,0,32,64,16,12,85,3,2,2,3,6,0,1,39,209,7,1
1986,Graduation,Married,32880.0,1,0,8,15,7,6,2,1,1,0,3,8,0,0,40,38,4,1
1958,PhD,Together,77863.0,0,0,881,319,16,25,12,1,4,5,10,2,0,0,68,1253,19,0
1977,Master,Married,50353.0,0,0,141,153,67,31,35,1,4,4,6,3,0,0,49,427,14,0
1964,Graduation,Single,61839.0,0,0,1000,379,224,17,120,1,4,8,4,8,0,0,62,1740,16,0
1960,PhD,Married,49154.0,1,1,206,67,30,27,71,6,4,1,8,6,0,0,66,401,13,2
1975,2n Cycle,Widow,47682.0,0,1,162,83,97,57,61,4,4,3,8,5,0,0,51,460,15,1
1969,Graduation,Single,72679.0,0,1,619,260,127,54,54,1,4,7,5,1,0,0,57,1114,16,1
1977,Master,Together,57954.0,1,1,456,24,0,0,9,7,8,2,6,7,0,0,49,489,16,2
1962,Graduation,Married,65316.0,1,1,112,92,3,9,38,2,3,2,5,4,0,0,64,254,10,2
1982,Graduation,Single,28567.0,1,0,11,22,2,2,6,2,2,0,3,6,0,0,44,43,5,1
1951,Master,Together,47352.0,0,1,172,112,8,0,15,4,6,1,5,7,0,0,75,307,12,1
1967,Graduation,Together,44931.0,0,1,78,11,0,0,7,1,2,1,3,5,0,0,59,96,6,1
1967,Graduation,Divorced,76982.0,0,0,464,292,65,60,30,1,8,3,4,4,0,1,59,911,15,0
1952,2n Cycle,Together,57247.0,0,1,99,32,37,54,6,2,2,1,7,2,0,0,74,228,10,1
1981,Master,Single,22944.0,1,0,19,19,4,5,26,3,3,0,3,7,0,0,45,73,6,1
1977,2n Cycle,Together,25315.0,1,0,1,8,11,3,22,3,3,0,3,8,0,0,49,45,6,1
1969,Graduation,Widow,43638.0,0,1,63,83,7,19,19,2,4,1,4,7,0,0,57,191,9,1
1984,PhD,Single,42710.0,1,0,252,42,4,3,102,2,4,5,3,6,0,0,42,403,12,1
1982,PhD,Married,84169.0,0,0,1478,403,0,19,0,1,7,6,6,3,0,1,44,1900,19,0
1976,Graduation,Together,54058.0,0,1,198,252,32,108,54,2,4,6,8,3,0,0,50,644,18,1
1990,2n Cycle,Married,24683.0,1,0,8,10,6,7,6,2,2,0,4,5,0,0,36,37,6,1
1964,Graduation,Widow,85620.0,0,0,416,925,60,107,46,1,3,6,4,1,0,1,62,1554,13,0
1980,Graduation,Married,47850.0,1,0,42,43,20,12,10,1,3,0,4,6,0,0,46,127,7,1
1968,Graduation,Married,19514.0,1,1,14,21,2,1,28,4,3,1,2,8,0,1,58,66,6,2
1973,Master,Married,27159.0,1,1,17,3,0,0,1,2,1,0,3,6,0,0,53,21,4,2
1963,2n Cycle,Single,39548.0,1,1,15,10,3,4,18,2,1,1,3,3,0,0,63,50,5,2
1989,Graduation,Single,21474.0,1,0,6,24,11,0,34,2,3,1,2,7,0,1,37,75,6,1
1971,PhD,Single,60504.0,0,1,458,24,6,4,34,2,6,2,8,6,0,0,55,526,16,1
